Sample 	Raw data	Clean reads	clean ratio	uniqtag
Normal_5	55935904	34381801	61.47%	29984069(87.21%)
Acute_11	59933534	37648510	62.82%	31198307(82.87%)
Acute_13	61600980	46332397	75.21%	32301230(69.72%)
Acute_14	58965068	41068944	69.65%	26106893(63.57%)
Acute_15	61463922	39631158	64.48%	25943149(65.46%)
Normal_3	41506308	33467594	80.63%	25142626(75.13%)
Chronic_8	45152864	33730612	74.70%	25463607(75.49%)
Chronic_6	45491400	36597709	80.45%	26039596(71.15%)
Chronic_7	42037788	32531520	77.39%	23716985(72.90%)
Chronic_9	57552342	41135625	71.48%	25027170(60.84%)
Chronic_10	57978028	36103120	62.27%	19130283(52.99%)
Acute_12	64615906	48212364	74.61%	28851925(59.84%)
Normal_2	42185520	32961659	78.14%	25326361(76.84%)
Normal_4	42099614	34261878	81.38%	25171840(73.47%)
Normal_1	33964190	27064427	79.69%	20998625(77.59%)
